iter	Passed	Remaining
724	2139	811
725	2140	807
726	2141	804
727	2148	802
728	2149	799
729	2151	795
730	2152	792
731	2154	788
732	2155	785
733	2162	783
734	2164	780
735	2165	776
736	2166	773
737	2168	769
738	2169	766
739	2172	763
740	2173	759
741	2175	756
742	2176	752
743	2178	749
744	2179	746
745	2184	743
746	2186	740
747	2188	737
748	2189	733
749	2190	730
750	2192	726
751	2197	724
752	2199	721
753	2201	718
754	2202	714
755	2203	711
756	2205	707
757	2210	705
758	2213	702
759	2214	699
760	2216	695
761	2217	692
762	2219	689
763	2223	686
764	2226	683
765	2227	680
766	2228	677
767	2230	673
768	2231	670
769	2235	667
770	2237	664
771	2238	661
772	2240	657
773	2242	654
774	2243	651
775	2244	647
776	2246	644
777	2247	641
778	2249	638
779	2252	635
780	2253	631
781	2257	629
782	2260	626
783	2261	623
784	2262	619
785	2264	616
786	2266	613
787	2267	610
788	2269	606
789	2271	603
790	2272	600
791	2274	597
792	2275	594
793	2277	590
794	2279	587
795	2281	584
796	2283	581
797	2284	578
798	2286	575
799	2288	572
800	2292	569
801	2294	566
802	2296	563
803	2297	560
804	2299	556
805	2300	553
806	2305	551
807	2307	548
808	2309	545
809	2310	541
810	2311	538
811	2313	535
812	2318	533
813	2320	530
814	2321	526
815	2322	523
816	2324	520
817	2325	517
818	2330	514
819	2333	512
820	2335	509
821	2336	506
822	2339	503
823	2342	500
824	2344	497
825	2346	494
826	2348	491
827	2349	488
828	2358	486
829	2361	483
830	2363	480
831	2370	478
832	2374	476
833	2375	472
834	2378	469
835	2381	467
836	2382	464
837	2384	460
838	2386	457
839	2390	455
840	2392	452
841	2394	449
842	2395	446
843	2398	443
844	2402	440
845	2403	437
846	2404	434
847	2406	431
848	2408	428
849	2412	425
850	2414	422
851	2416	419
852	2417	416
853	2419	413
854	2423	410
855	2425	408
856	2426	404
857	2428	401
858	2429	398
859	2433	396
860	2435	393
861	2437	390
862	2439	387
863	2440	384
864	2442	381
865	2443	378
866	2447	375
867	2448	372
868	2450	369
869	2451	366
870	2453	363
871	2456	360
872	2459	357
873	2460	354
874	2461	351
875	2463	348
876	2464	345
877	2469	343
878	2471	340
879	2472	337
880	2474	334
881	2476	331
882	2480	328
883	2482	325
884	2483	322
885	2485	319
886	2486	316
887	2492	314
888	2494	311
889	2496	308
890	2498	305
891	2499	302
892	2501	299
893	2503	296
894	2505	293
895	2507	291
896	2509	288
897	2510	285
898	2516	282
899	2521	280
900	2524	277
901	2525	274
902	2527	271
903	2529	268
904	2533	265
905	2535	263
906	2537	260
907	2538	257
908	2541	254
909	2542	251
910	2544	248
911	2546	245
912	2548	242
913	2549	239
914	2551	237
915	2555	234
916	2558	231
917	2559	228
918	2561	225
919	2563	222
920	2566	220
921	2567	217
922	2569	214
923	2571	211
924	2573	208
925	2577	205
926	2579	203
927	2581	200
928	2582	197
929	2584	194
930	2586	191
931	2589	188
932	2591	186
933	2593	183
934	2594	180
935	2596	177
936	2601	174
937	2604	172
938	2605	169
939	2607	166
940	2609	163
941	2612	160
942	2617	158
943	2618	155
944	2620	152
945	2622	149
946	2629	147
947	2631	144
948	2632	141
949	2634	138
950	2635	135
951	2642	133
952	2645	130
953	2647	127
954	2649	124
955	2654	122
956	2656	119
957	2658	116
958	2659	113
959	2661	110
960	2666	108
961	2669	105
962	2670	102
963	2672	99
964	2673	96
965	2675	94
966	2677	91
967	2679	88
968	2681	85
969	2682	82
970	2684	80
971	2688	77
972	2690	74
973	2691	71
974	2693	69
975	2695	66
976	2696	63
977	2701	60
978	2703	57
979	2704	55
980	2707	52
981	2709	49
982	2713	46
983	2715	44
984	2717	41
985	2719	38
986	2720	35
987	2722	33
988	2724	30
989	2727	27
990	2728	24
991	2730	22
992	2737	19
993	2742	16
994	2743	13
995	2748	11
996	2751	8
997	2753	5
998	2755	2
999	2756	0
